"","accuracy","p","precision","recall","estMisclassSize","estNval","estCorrClassSize","waic","iterIndex","simMethod","estMethod","trueNval","trueMisclassIncrease","biasBeta01","biasBeta11","biasBeta12","biasGamma011","biasGamma021","biasGamma012","biasGamma022","biasGamma111","biasGamma121","biasGamma112","biasGamma122"
"11",0.838147333333333,0.496335360727071,0.855376556776557,0.823763302752294,91,200,109,2303.8,11,"full","main",0,0,0.0376191107588155,0.038600855898749,0.130523703834928,-2.00111463401718,-0.994005108762082,-0.484829267164392,-1.01620075927416,-3.00501188925756,1.01241716688315,1.00208962052023,-1.00746712149099
"12",0.844944666666667,0.504365193993443,0.829253465346535,0.860952861952862,101,200,99,2260.88,12,"full","main",0,0,-0.00860313350526054,0.12966229990135,-0.162911441978321,-1.99197119221202,-1.00381043940865,-0.498330115012181,-1.00131445290045,-3.00225120523409,0.99730199359241,1.02040386422762,-1.00851738829832
"13",0.816875666666667,0.50064546801288,0.785006060606061,0.848114191419142,99,200,101,2273.61,13,"full","main",0,0,0.113286818574582,0.271312251813201,-0.26249317961455,-1.99421389724396,-0.984736477229196,-0.489448386316723,-0.98794159938914,-2.98504699958229,0.996099611201399,1.01166097807108,-1.00910954444687
"14",0.829927666666667,0.498025086641746,0.782753264604811,0.874354045307443,97,200,103,2283.73,14,"full","main",0,0,-0.00187606431466847,0.0957685513403979,-0.127880910864031,-1.99366730563869,-0.990519930754745,-0.495814650341203,-0.991736806075893,-3.00106330329259,1.01064699281237,1.00303598689545,-0.999202629813873
"15",0.825862666666667,0.498680604155595,0.7866,0.857986666666667,90,200,110,2291.16,15,"full","main",0,0,-0.011497359871625,-0.0800107634512273,0.00140971682735569,-2.01071717154428,-1.0155259880252,-0.501814467945547,-0.996567808003381,-2.98619090303449,0.998928392551571,1.00849420566306,-1.00105398244906
"16",0.845726,0.50392323089942,0.787915750915751,0.893989602446483,91,200,109,2250.81,16,"full","main",0,0,0.120400241542059,0.43780414978648,-0.298190386740133,-1.99984639174286,-0.996699793645192,-0.50578854205525,-0.986017608263873,-3.01152730805481,1.00888305526577,0.998958088677695,-1.00434678624185
"17",0.858444333333333,0.499598294243356,0.829453968253968,0.890486315789474,105,200,95,2323.9,17,"full","main",0,0,0.219584427570908,-0.330888065211603,0.0622107859004679,-2.01244005629221,-1.00334128471671,-0.507034263698539,-0.986855727137802,-3.00247878792912,0.998891157390444,0.993455945972267,-1.00809775795827
"18",0.860520666666667,0.502550115122351,0.824473188405797,0.891227777777778,92,200,108,2230.9,18,"full","main",0,0,-0.231084152328233,0.419375020104045,-0.0380445695214031,-2.00389344896271,-0.997402354858645,-0.515385825762643,-0.994686400806983,-2.99517083179828,1.00109645108601,0.997609842593321,-1.00346926800376
"19",0.810711333333333,0.499109967634253,0.816958333333333,0.804944871794872,96,200,104,2286.16,19,"full","main",0,0,-0.118810821743593,0.211267640229805,0.0845016286405993,-2.00150884821932,-1.00326804730873,-0.492496500480183,-1.00044381054143,-3.01544966642481,0.998954680447388,1.00555772059792,-1.01335856746908
"20",0.841807,0.49744049141185,0.789678231292517,0.891891503267974,98,200,102,2390.04,20,"full","main",0,0,0.0901973337057249,-0.229250805912464,-0.00763377950339539,-2.01350604210471,-0.981451641887492,-0.483271580476975,-1.00277657071285,-2.99264285922211,0.993408691992708,1.00372822962522,-1.01589717922763
